season,effective_week,team_count,ap_ranked_count,elo_count,status,issues
2015,1,128,25,128,PASS,
2015,2,128,25,128,PASS,
2015,3,128,25,128,PASS,
2015,4,128,25,128,PASS,
2015,5,128,25,128,PASS,
2015,6,128,25,128,PASS,
2015,7,128,25,128,PASS,
2015,8,128,25,128,PASS,
2015,9,128,25,128,PASS,
2015,10,128,25,128,PASS,
2015,11,128,25,128,PASS,
2015,12,128,25,128,PASS,
2015,13,128,25,128,PASS,
2015,14,128,25,128,PASS,
2015,15,128,25,128,PASS,
2016,1,128,25,128,PASS,
2016,2,128,25,128,PASS,
2016,3,128,25,128,PASS,
2016,4,128,25,128,PASS,
2016,5,128,25,128,PASS,
2016,6,128,25,128,PASS,
2016,7,128,25,128,PASS,
2016,8,128,25,128,PASS,
2016,9,128,25,128,PASS,
2016,10,128,25,128,PASS,
2016,11,128,25,128,PASS,
2016,12,128,25,128,PASS,
2016,13,128,25,128,PASS,
2016,14,128,25,128,PASS,
2016,15,128,25,128,PASS,
2017,1,130,25,130,PASS,
2017,2,130,25,130,PASS,
2017,3,130,25,130,PASS,
2017,4,130,25,130,PASS,
2017,5,130,25,130,PASS,
2017,6,130,25,130,PASS,
2017,7,130,25,130,PASS,
2017,8,130,25,130,PASS,
2017,9,130,25,130,PASS,
2017,10,130,25,130,PASS,
2017,11,130,25,130,PASS,
2017,12,130,25,130,PASS,
2017,13,130,25,130,PASS,
2017,14,130,25,130,PASS,
2017,15,130,25,130,PASS,
2018,1,130,25,130,PASS,
2018,2,130,25,130,PASS,
2018,3,130,25,130,PASS,
2018,4,130,25,130,PASS,
2018,5,130,25,130,PASS,
2018,6,130,25,130,PASS,
2018,7,130,25,130,PASS,
2018,8,130,25,130,PASS,
2018,9,130,25,130,PASS,
2018,10,130,25,130,PASS,
2018,11,130,25,130,PASS,
2018,12,130,25,130,PASS,
2018,13,130,25,130,PASS,
2018,14,130,25,130,PASS,
2018,15,130,25,130,PASS,
2019,1,130,25,130,PASS,
2019,2,130,26,130,PASS,
2019,3,130,25,130,PASS,
2019,4,130,25,130,PASS,
2019,5,130,25,130,PASS,
2019,6,130,26,130,PASS,
2019,7,130,25,130,PASS,
2019,8,130,25,130,PASS,
2019,9,130,25,130,PASS,
2019,10,130,25,130,PASS,
2019,11,130,25,130,PASS,
2019,12,130,25,130,PASS,
2019,13,130,25,130,PASS,
2019,14,130,25,130,PASS,
2019,15,130,25,130,PASS,
2019,16,130,25,130,PASS,
2020,1,128,25,127,PASS_WITH_INACTIVE_UNAVAILABLE,Elo unavailable: New Mexico State
2020,3,128,25,127,PASS_WITH_INACTIVE_UNAVAILABLE,Elo unavailable: New Mexico State
2020,4,128,25,127,PASS_WITH_INACTIVE_UNAVAILABLE,Elo unavailable: New Mexico State
2020,5,128,25,127,PASS_WITH_INACTIVE_UNAVAILABLE,Elo unavailable: New Mexico State
2020,6,128,25,127,PASS_WITH_INACTIVE_UNAVAILABLE,Elo unavailable: New Mexico State
2020,7,128,25,127,PASS_WITH_INACTIVE_UNAVAILABLE,Elo unavailable: New Mexico State
2020,8,128,25,127,PASS_WITH_INACTIVE_UNAVAILABLE,Elo unavailable: New Mexico State
2020,9,128,25,127,PASS_WITH_INACTIVE_UNAVAILABLE,Elo unavailable: New Mexico State
2020,10,128,25,127,PASS_WITH_INACTIVE_UNAVAILABLE,Elo unavailable: New Mexico State
2020,11,128,25,127,PASS_WITH_INACTIVE_UNAVAILABLE,Elo unavailable: New Mexico State
2020,12,128,25,127,PASS_WITH_INACTIVE_UNAVAILABLE,Elo unavailable: New Mexico State
2020,13,128,25,127,PASS_WITH_INACTIVE_UNAVAILABLE,Elo unavailable: New Mexico State
2020,14,128,25,127,PASS_WITH_INACTIVE_UNAVAILABLE,Elo unavailable: New Mexico State
2020,15,128,25,127,PASS_WITH_INACTIVE_UNAVAILABLE,Elo unavailable: New Mexico State
2020,16,128,25,127,PASS_WITH_INACTIVE_UNAVAILABLE,Elo unavailable: New Mexico State
2021,1,130,25,130,PASS,
2021,2,130,25,130,PASS,
2021,3,130,25,130,PASS,
